	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
CM001218.2/30432900-30432673	60.1366128302922	-2.25011582776037	0.0748790709435183	-30.0499966066305	2.18352843228177e-198	1.34797944238483e-193	down
BDDD01002179.1/116105-116211	21.2565396115823	-2.18400288146869	0.0780319510619153	-27.9885720111723	2.23824984695391e-172	5.52704464207412e-168	down
AYUG01120151.1/56244-56102	314.867611101927	-2.32894778465968	0.0899767984530154	-25.8838703388166	1.01180755193758e-147	1.04104879018857e-143	down
CM001882.1/2880781-2880642	9.65715964959961	-2.46065584721548	0.0985020049792682	-24.9807691501648	9.89307902141664e-138	6.42883516113826e-134	down
ABEG02005409.1/3704-3621	116.58211977668	-2.06288665754922	0.0855554047371455	-24.1117047355113	1.88426495463293e-128	8.94793943917766e-125	down
BX284602.5/7850593-7850511	114.221128776647	-2.10756945471854	0.0886733945848513	-23.7677768465468	7.19685390552742e-125	2.96193719335887e-121	down
CM000834.2/34719093-34719198	27.9487202314936	-2.63803184154269	0.111396623327383	-23.6814345241847	5.60199606881571e-124	2.16146015820168e-120	down
AFTD01017112.1/18048-18156	51.6162957427491	-2.08284354917529	0.0896727455137043	-23.2271638081716	2.42079967015203e-119	8.79092040218621e-116	down
CM000768.3/55505923-55505813	34.0135093725155	-3.55819912534389	0.153353232768671	-23.2026352565475	4.28267789764518e-119	1.46881576296238e-115	down
CAVP010060188.1/1178-1252	6.47780789232166	-2.21301686378776	0.0962551194450552	-22.9911601226676	5.71417475463251e-117	1.85662560159202e-113	down
JAJA02000001.1/4864168-4864287	487.147145903175	-1.81011481068685	0.0794195229693556	-22.7918116731233	5.5280628858223e-115	1.70634717096677e-111	down
AYUG01095141.1/3206-3267	5.80914113594031	-1.99150554979666	0.0883646389734253	-22.5373585286257	1.78664732229534e-112	4.59570357477418e-109	down
AZGB01000002.1/38042-38169	11.8486608418494	-2.65363375766386	0.118035284082804	-22.4816992502198	6.26932083361939e-112	1.57971531568432e-108	down
CM002820.1/1599002-1599086	44.0832306217861	-1.37739669607567	0.0612921165932312	-22.472656723814	7.68537540887926e-112	1.89779586196701e-108	down
ALWT01146372.1/28734-28605	94.3298534157439	-1.95778350391552	0.0871678713688855	-22.4599209911916	1.02369992109278e-111	2.4783172913232e-108	down
JENH01067386.1/2491-2564	8.12387400157024	-2.56859303472845	0.114988186359804	-22.3378863172186	1.58361150395625e-110	3.55500627582673e-107	down
CM003271.1/46985227-46985333	162.057371186461	-1.84722795305269	0.083619158898361	-22.0909654843335	3.86056370357309e-108	7.9442679892127e-105	down
ABJB010918644.1/1659-1583	8.50374784299544	-2.45470608512822	0.112118911209179	-21.8937738393527	2.97809638803018e-106	5.65691699749709e-103	down
HE587306.1/2889893-2889809	16.7599026151342	-2.49564221742255	0.114144606855166	-21.8638644976821	5.7375183353264e-106	1.07333320276679e-102	down
CM007649.1/192096070-192096180	15.5952433649942	-3.73233383847189	0.171155711639228	-21.8066566562449	2.00611276690277e-105	3.6425107515287e-102	down
LRGB01000810.1/3477-3552	8.56632556544884	-2.45344431318481	0.112650436999797	-21.7792702676265	3.64837146600876e-105	6.435101830931e-102	down
FAOM01342467.1/165628-165751	19.0863813523889	-2.89430941823735	0.133308101377808	-21.7114293004188	1.6000391526516e-104	2.74380047360538e-101	down
HE587302.1/3261036-3261114	56.7282393292123	-2.61706698456473	0.120992503705854	-21.6299928045716	9.3797859605881e-104	1.58644303148204e-100	down
HE717023.1/2682883-2682949	7.82581151196368	-2.0964489911493	0.0971864319616796	-21.5714163884103	3.33330397225613e-103	5.56157263306108e-100	down
FAOM01177164.1/25231-25094	17.008585214814	-2.80377350354588	0.130311281024855	-21.5159691585804	1.10349203271717e-102	1.76942797786395e-99	down
LADI01017368.1/99282-99362	18.3106949244972	-2.55469550802803	0.119360564273712	-21.4031788771518	1.24802137600313e-101	1.92613379065442e-98	down
ABKE02002224.1/3007-2946	16.5099944424198	-2.96988250830091	0.139165998848215	-21.3405755204624	4.77038590114676e-101	7.18280495661937e-98	down
ABLE03028700.1/9577-9475	9.90749955608316	-2.19154993088627	0.102710789254456	-21.3370956137521	5.13893947541767e-101	7.64451300181769e-98	down
ABVL01000022.1/15348-15474	636.791932862963	-1.70727526604849	0.0802413179395743	-21.2767600269745	1.86385519391796e-100	2.70737027156073e-97	down
LK997155.1/535-446	13.965882633473	-2.46424838488648	0.116489331085137	-21.1542839325386	2.51986114705451e-99	3.53547972846052e-96	down
LM414604.1/5920-6009	13.9032393912394	-2.4483967284301	0.115790043902545	-21.1451403411748	3.05878733026001e-99	4.24339723699487e-96	down
CM000300.1/7849586-7849709	4.59049628013988	-2.54290588676847	0.120632662815258	-21.0797459611978	1.2203677741965e-98	1.67418187049437e-95	down
JYFT01000063.1/48878-48985	605.043877407467	-1.75698282070566	0.0838997621337853	-20.9414517517226	2.24513125538783e-97	2.91791437726552e-94	down
HE587310.1/2523121-2523050	54.725371863739	-2.6565890397579	0.127158506676746	-20.8919490263542	6.33793892124787e-97	8.06734683225393e-94	down
MLYO01000011.1/24103-24334	441.454416598259	-2.94842249819693	0.141463684579066	-20.8422571981645	1.79187681137084e-96	2.1904895658053e-93	down
APLE01012040.1/73364-73280	68.2945175688927	-1.42404622758792	0.0683433443731616	-20.8366482595946	2.01459604878587e-96	2.43860926423033e-93	down
CM001217.2/4550739-4550829	12.5527261071479	-2.66438612519425	0.128018475050725	-20.8125126013143	3.33404864379719e-96	3.92046017097477e-93	down
KK198756.1/28693215-28693355	517.253271452039	-1.65579283540942	0.0798377341721655	-20.7394767972598	1.52576062127149e-95	1.76058516249671e-92	down
FAOM01306578.1/37433-37236	39.679642892757	-2.84121683544437	0.137151541171835	-20.7158943397119	2.49038000360484e-95	2.84705776189891e-92	down
KK198757.1/28517587-28517448	517.332352405852	-1.65759764479255	0.0801739718893209	-20.6750096787128	5.81550874360393e-95	6.4109752996008e-92	down
AFSB01056468.1/21859-21778	30.0388984183811	-2.85552748899266	0.138118495854861	-20.6744757196989	5.88021568700465e-95	6.42494221631053e-92	down
CM001503.2/53192907-53192803	6.85383699984854	-2.2039400216182	0.106644615260734	-20.6662100681765	6.97857906274524e-95	7.55816841858797e-92	down
CM001955.2/53133656-53133755	6.79073280021336	-2.19199718615963	0.10619325989728	-20.6415848640481	1.16189631536249e-94	1.23669839883772e-91	down
FAOM01603310.1/38864-38960	6.89549794326446	-2.54900888140025	0.123727385929361	-20.6018163420631	2.64340403475172e-94	2.76589668951463e-91	down
KB846797.1/6792628-6792555	6.95104187827239	-1.83285663521881	0.0892812842787045	-20.5290128835656	1.18558848064085e-93	1.21985198773137e-90	down
AAQR03062289.1/12958-13100	12.3234034866843	-2.47922132852011	0.12089788763818	-20.5067381817279	1.87451385076209e-93	1.89706947644176e-90	down
KZ248819.1/260303-260223	127.269694368402	-1.8216611213716	0.0889659119753125	-20.4759450100067	3.52837848863498e-93	3.48513468187827e-90	down
CM002482.1/11854240-11854083	12.0410780739905	-2.43728536113705	0.119428340285441	-20.4079312775493	1.42176245149637e-92	1.39319179651868e-89	down
AFEW01001563.1/1052-946	8.62282735869295	-2.62054930046899	0.128419710305225	-20.4061299798959	1.47512724075639e-92	1.43410244221819e-89	down
FWXU01000027.1/42911-43036	9.14007408394028	-2.57888743524122	0.126560930702768	-20.3766472079588	2.69494523362148e-92	2.59952732894357e-89	down
JPDS01000001.1/1139428-1139544	14.2279793153937	-2.57458132887562	0.126395276347251	-20.3692843852991	3.13221398410043e-92	2.9978929937125e-89	down
HE587319.1/654078-654005	20.2928090302342	-2.57694192317705	0.126605541289102	-20.3541005941647	4.27015417344433e-92	4.02463660676965e-89	down
LJHW01000021.1/66845-66716	210.015202430151	-1.88951315197148	0.0929453482233677	-20.3292923001436	7.08164675328792e-92	6.57411098748085e-89	down
CAJW010135093.1/7784-7661	8.42999874240067	-2.54716606673504	0.125642342323636	-20.2731501150616	2.21982529876353e-91	2.00056489042143e-88	down
FAOM01642311.1/34309-34447	12.491185548582	-2.61473802708555	0.129031929983602	-20.2642712343978	2.65867509258591e-91	2.37870504587969e-88	down
LJIJ01000014.1/25734-25816	8.46638267827144	-2.31548430916422	0.114295819092881	-20.2586964907489	2.97741152494963e-91	2.64471256232e-88	down
CM001252.2/4439685-4439489	9.11016322080173	-2.33290504585892	0.115287338049123	-20.2355704046605	4.76085818778284e-91	4.11058488621799e-88	down
CM000002.3/57799255-57799165	23.9514419865889	-2.15007305741459	0.106261813504635	-20.2337320106137	4.94174061892924e-91	4.23713076901358e-88	down
KV441720.1/653868-653955	10.30214610743	-1.69054647632393	0.0837209896146249	-20.192624144861	1.13664054365325e-90	9.61224209888904e-88	down
LMDI01000021.1/39668-39797	209.721458786094	-1.89025073999856	0.0937754787776752	-20.1571963655872	2.32699281156399e-90	1.94127803012285e-87	down
FAOM01578914.1/7033-6917	9.24544460404498	-2.38384758225392	0.118368930034176	-20.1391326386548	3.35153992033123e-90	2.74044987340037e-87	down
KB870805.1/13496961-13496854	5.3179276125668	-1.93133610051167	0.0959172979629102	-20.1354306421193	3.61160043185093e-90	2.93366501394586e-87	down
FN692037.1/1881297-1881239	16.0529323574926	-2.66322631088216	0.132498817828746	-20.1000005473585	7.37928034087508e-90	5.91626613718938e-87	down
KE159668.1/363622-363782	18.4378080797505	-2.02583521938867	0.100799676223227	-20.0976361759569	7.73932328119031e-90	6.16489527020649e-87	down
HE587320.1/1111613-1111687	17.5815843839644	-2.42060510907419	0.120467440042455	-20.0934385940393	8.42223115673337e-90	6.6658720285869e-87	down
BABH01038614.1/7152-7231	123.949647852878	-1.88535443279226	0.0939290953048618	-20.0721025436585	1.29412383310243e-89	1.01772535939803e-86	down
AACT01028254.1/312-493	6.52801550133308	-2.22171005233005	0.11102388292743	-20.0111002583314	4.40811072759552e-89	3.40162884571727e-86	down
ABJB011140363.1/17784-17702	2665.25625478395	-1.93272218718061	0.0968436813269547	-19.9571325738386	1.29958471119101e-88	9.90476080995871e-86	down
KV775375.1/52903-52796	11.7333138082312	-2.46574780918615	0.123684942385318	-19.9357153880911	1.99433254939157e-88	1.4923409164138e-85	down
FAOM01557553.1/11802-11681	7.62858708932804	-1.78852003375045	0.0898368564315606	-19.9085331432204	3.43217828285037e-88	2.53751010914353e-85	down
JJRJ01061023.1/5030-4950	113.05494591435	-1.16335735894552	0.0584367030934745	-19.9079909947115	3.46951723426916e-88	2.54984734452824e-85	down
CAKD01000002.1/6036-6094	16.0909423528548	-2.66052261264072	0.133784322122411	-19.8866546575343	5.31014116494284e-88	3.85666181972448e-85	down
FAOM01602540.1/168754-168638	9.20073176459624	-2.34972820656741	0.118772333201746	-19.7834642397415	4.13297595747965e-87	2.89937656544373e-84	down
