	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
CAVP010018450.1/3749-3674	9.14583322626456	3.49443856431872	0.115336664608814	30.2977251524548	1.22823547932211e-201	1.51647778160943e-196	up
CM001497.2/157935302-157935381	124.918423137778	2.23147104760892	0.0752151050695526	29.6678578796831	1.99578779530495e-193	8.21386425035706e-189	up
BDDD01005997.1/24506-24400	12.9641094144093	3.63952855184053	0.125710228582821	28.9517296473828	2.66904713660392e-184	8.23854779655532e-180	up
FR853081.2/82644201-82644303	96.2814812407992	2.26207041203608	0.0843380100303724	26.8214819299323	1.81505992834862e-158	3.73503032055579e-154	up
AAGD02000034.1/42470-42531	140.250396271166	2.58994746275721	0.097546619608908	26.5508684272304	2.50957881883582e-155	4.42646682291458e-151	up
AFUT01000007.1/103744-103809	24.7057515385671	2.66902545045853	0.100680934135516	26.5097406313894	7.4841970079167e-155	1.15507354521682e-150	up
MKWD01000051.1/44414-44567	8.89419626047461	2.61973155190832	0.0993833364743894	26.3598672055391	3.95567645108258e-153	5.42666066735849e-149	up
CP000880.1/3809085-3809008	11.440301346781	3.04604569656524	0.116361149585409	26.1775146379888	4.79256877643039e-151	5.91728881688308e-147	up
JMFH01053751.1/6081-6216	54.9027680340043	2.29232710169163	0.0880460792098494	26.0355386891003	1.96171238537189e-149	2.20189731633724e-145	up
JMFP01050861.1/433-569	54.369777722507	2.27699318122875	0.0885727560239202	25.7076022407366	9.61122354484613e-146	9.12829652796202e-142	up
JMFU01004182.1/11431-11296	54.4665545712906	2.26348899536039	0.0880792447161835	25.6983243061858	1.22039763475794e-145	1.07628610834495e-141	up
JJRQ01015920.1/6084-6220	54.4015698054328	2.28071719499455	0.0889257935849757	25.6474202033985	4.5177229296298e-145	3.71862809783688e-141	up
MDET01000005.1/116135-116014	45.5562036402464	2.96752168529059	0.115740373994949	25.6394686042755	5.54126950714036e-145	4.27605914692254e-141	up
JJRN01069306.1/6077-6213	54.365034906696	2.29323849880857	0.0899043912479071	25.5075249048189	1.62654633831158e-143	1.18133190175679e-139	up
AGTP01008599.1/19247-19141	15.3496656577715	2.78409716411805	0.110229355216307	25.257311526995	9.41342465199483e-141	6.45698174962499e-137	up
LFZV01000001.1/714289-714356	76.3618921764815	3.06591150659204	0.123151080060942	24.8955307990385	8.31735423590576e-137	5.13463546399406e-133	up
JJRF01005258.1/18909-18773	57.3425871101217	2.0611838633288	0.0828234407147415	24.8864795466284	1.04228597340837e-136	6.12804593165638e-133	up
CM002292.1/7322007-7322085	70.7076564432703	1.74444676135367	0.0709254022494065	24.5955145269306	1.4107877290151e-133	7.91759724209258e-130	up
CM000863.1/32369133-32369061	14.4759886158124	2.42908464931101	0.0992804968719195	24.4668865068709	3.32739280129406e-132	1.78620232343554e-128	up
CM000322.4/75825288-75825348	15.2643481742159	2.52394188017226	0.1038535828101	24.3028869286809	1.8272882850444e-130	9.4004845824109e-127	up
AE013598.1/882172-882243	37.9265887634553	3.09675484871434	0.127722446664317	24.2459718678369	7.29180010150648e-130	3.60121589973121e-126	up
CP020892.1/3380186-3380052	9.83525507772124	2.55972738658184	0.106339203477867	24.0713424857899	4.99079661972446e-128	2.28223584090422e-124	up
CM007376.1/20370021-20369871	19.4538046199222	3.70514236488017	0.155081996337137	23.8915054770475	3.75333996567606e-126	1.65506206743604e-122	up
MUFS01000026.1/54202-54510	142.864143471288	1.58257428973067	0.0664874579302644	23.8025988509075	3.13910324268845e-125	1.33647861782158e-121	up
CP003236.1/1912807-1912520	23.4047459518631	2.53615306533227	0.106946114633551	23.7143076587902	2.56694734315791e-124	1.02237372440329e-120	up
FAOM01049441.1/223387-223525	13.5967391763966	2.97242477826742	0.126429743821179	23.5104864443259	3.18628597174278e-122	1.19213441320951e-118	up
FAOM01032757.1/44650-44555	6.23655734898043	2.51235702249506	0.108277102268159	23.2030315723905	4.24340419313616e-119	1.46881576296238e-115	up
AWUE01013864.1/25115-25211	5.6777890950328	2.15827102899271	0.0936276082287485	23.051651855932	1.41584613654635e-117	4.72464029154336e-114	up
KK107088.1/498920-498727	11.2619092198165	2.50801837382093	0.109721862527627	22.857963910241	1.21778403401888e-115	3.85531690031393e-112	up
CH476616.1/5215778-5216078	36.9433490101343	2.81825987284789	0.123797862659799	22.76501235399	1.01904950301348e-114	3.06878058629436e-111	up
FAOM01321666.1/8576-8708	29.941745280595	2.44855918084312	0.107578660401237	22.7606401837569	1.1259021497285e-114	3.3098306338733e-111	up
LT598455.1/453598-453748	18.1841060191676	2.73054944645137	0.120164798210962	22.723372294585	2.63205166242413e-114	7.55753848037633e-111	up
KQ949081.1/222213-221967	27.3746287896656	2.52185239970996	0.111284420710468	22.6613247713365	1.07886153216937e-113	3.02738353758835e-110	up
CM000019.3/13517013-13516925	13.6112813306465	3.64515033326349	0.160900663911467	22.6546630986506	1.2550047570024e-113	3.44339838527939e-110	up
JNNT01002729.1/486-701	11.4107842240996	2.19063556598439	0.0969211682907572	22.6022406107676	4.11931467396054e-113	1.10565987861861e-109	up
KK107088.1/503830-503637	11.4989507460655	2.44399136828078	0.108189742114719	22.5898622226985	5.45174198788204e-113	1.43216102076557e-109	up
AWGT02000015.1/4127197-4127352	6.37957683843947	2.4375946833746	0.108568122323279	22.452213699674	1.21755014715405e-111	2.89093233786184e-108	up
ABCK01000020.1/936-891	27.1332188016298	2.35210577714061	0.105119153763482	22.3756156031549	6.80126026710906e-111	1.58441132577249e-107	up
JJRI01091252.1/8119-8038	15.9886195595435	2.20446675209131	0.0986445478616814	22.3475782481399	1.27472659337481e-110	2.91459153760744e-107	up
GL010027.1/67251694-67251829	17.5536466593008	2.05068176267739	0.0921272216359746	22.2592381085833	9.17941047327794e-110	2.02386330770479e-106	up
CP011602.1/2034912-2034700	6.99478761640543	1.89779723912304	0.0855862697918288	22.1740852094506	6.11049942412796e-109	1.32359849631269e-105	up
CM000765.3/59096164-59095980	7.32068526709362	2.53243544558068	0.114505481754954	22.1162813060791	2.2036192819321e-108	4.6909735431309e-105	up
KB017148.1/411022-410896	8.75675307816191	2.24439049279015	0.10158835999543	22.0929887330706	3.69146882266292e-108	7.72505546773805e-105	up
AOTI010637638.1/3101-2966	7.07049043631859	2.19985859512183	0.100139464784719	21.967948399276	5.83450330221778e-107	1.18094172740693e-103	up
AE017354.1/753162-753084	267.676414544316	2.07162513771891	0.0943624297780626	21.953918975924	7.94485530291734e-107	1.58215386216226e-103	up
JJOQ01002630.1/16977-16801	5.94540217274687	2.20245314606121	0.100340251183952	21.9498468468401	8.68936816884531e-107	1.70295064931904e-103	up
FR796430.1/1395630-1395697	41.9600093458874	2.24724977050293	0.102452574738275	21.9345367965983	1.21670461763953e-106	2.34725133954246e-103	up
CM000877.1/44977960-44978047	3.57073987217924	2.11178967341154	0.0968301570700908	21.8092145805662	1.89704810429728e-105	3.49589157225935e-102	up
FAOM01392979.1/47800-47935	6.80995432026805	2.18420009215604	0.100261189331915	21.785100562943	3.21239824117967e-105	5.74823747886915e-102	up
ALYD01000007.1/26594-26431	32.5010836529151	3.2372010188614	0.14867943566941	21.7730246572857	4.18108941724051e-105	7.27085560799791e-102	up
CM000379.2/90276715-90276799	287.670943374781	2.04741332573139	0.0949978408047175	21.5522090648372	5.04801815213557e-103	8.31024940277167e-100	up
FR796466.1/1224122-1224189	41.6325437287741	2.20972411542986	0.102605330858345	21.536153111582	7.1395529725266e-103	1.15987674527883e-99	up
CAJW010220862.1/2344-2219	4.03258257271832	2.50142743317521	0.1163690400628	21.4956437882901	1.71006994646977e-102	2.70690918141961e-99	up
AGCT01048950.1/2084-2256	2351.46094846002	1.86434813395366	0.0868262170684754	21.4721796814359	2.83409472086502e-102	4.42936717716154e-99	up
FR847123.2/16963548-16963473	5.36677917016299	2.56333071108007	0.120102069353827	21.3429354287673	4.53557796380975e-101	6.9135646917983e-98	up
CM002518.1/29318127-29317851	35.6054698655432	2.20991484598	0.103608708874734	21.329431376776	6.05392981819327e-101	8.89841198562722e-98	up
LIRN01000072.1/353542-353466	14.5824340405617	1.8143454869659	0.0854653345334584	21.2290222330507	5.15233240812673e-100	7.39707183449525e-97	up
CM003293.1/103115368-103115236	5.74103200268697	2.29498700413876	0.108361190478803	21.1790493810393	1.49009064090648e-99	2.11469553162577e-96	up
CM001013.2/128700546-128700653	5.24156110026976	2.05807037760144	0.0978910272496502	21.0240962366527	3.94842803353402e-98	5.35719244444371e-95	up
MKZW02000001.1/205066-204852	7.8889233499675	1.6875258785246	0.0805194479936551	20.957991150878	1.58642372999403e-97	2.12904962059677e-94	up
LAVA02000036.1/121215-121003	5.35640461043757	2.72157522051499	0.129862610962552	20.9573425356417	1.60818550517198e-97	2.13504782744703e-94	up
KE150417.1/197322-197138	13.0351706542636	2.33042676161207	0.111237018495709	20.950100902803	1.87234139758735e-97	2.45930050720547e-94	up
LMZQ01000005.1/431392-431296	11.8885235073144	2.82102525902563	0.134902084453051	20.9116506276626	4.19467718517687e-97	5.3948791947856e-94	up
AAHK01003225.1/2309-2409	18.2037174948627	3.33085962719929	0.159475276767891	20.8863699421397	7.12323427408932e-97	8.97440295258428e-94	up
FR890299.1/6581-6413	80.6286668637787	1.65818602987677	0.0794884623379046	20.8607133803626	1.21840625559588e-96	1.51953720773648e-93	up
ALAR01238363.1/3167-3276	6.68794767020539	2.37738215834938	0.113997330824728	20.8547177477746	1.3811065192078e-96	1.70522459713549e-93	up
HE591693.1/38756-38667	763.327581270712	1.9906584825794	0.0955556656876614	20.8324484817695	2.19925757349642e-96	2.63629062217918e-93	up
CM001663.1/98177824-98177895	10.8473495144986	2.36977191733618	0.11378855578834	20.826100664677	2.51090595843464e-96	2.98092823919238e-93	up
CM001963.2/86605493-86605552	12.3727742681186	2.53737586918104	0.122047040865352	20.7901465794684	5.31482812719946e-96	6.19067169065154e-93	up
JMFV01034606.1/13981-13800	4.76142955431008	2.2717732393881	0.10975107254734	20.6993260900315	3.51247382425606e-95	3.97869833149768e-92	up
AGTP01019363.1/40266-40327	11.962830519857	2.47748006771567	0.119691989990831	20.6987958668366	3.55132652360905e-95	3.98613802924512e-92	up
CM000841.2/9110441-9110335	5.2372145098724	2.30315172734113	0.111333164686243	20.687022899527	4.53354619813811e-95	5.04277371163709e-92	up
ABEG02005291.1/83382-83489	20.3766508501108	2.25885254007936	0.109382319612768	20.6509840719788	9.56515358016344e-95	1.02694815846576e-91	up
FQUT01000015.1/21758-21851	4.80983712736421	2.21766093412563	0.107520462750306	20.6254779546076	1.62121009120773e-94	1.71083391060886e-91	up
AZIM01002460.1/28488-28419	22.1608433012378	1.93033585507757	0.0937085001146715	20.599367749088	2.78049304226262e-94	2.8848900415301e-91	up
JMFK01097172.1/422-325	3.93374886325738	2.24009336818692	0.109235132066789	20.5070779501349	1.86146768796286e-93	1.89706947644176e-90	up
FAOM01195899.1/33784-33976	4.75611607249625	2.27928266914546	0.11123323592814	20.4910218616488	2.58901991037421e-93	2.59887081539905e-90	up
KB870810.1/9487438-9487277	4.13926261779012	2.21535082293874	0.10817710225567	20.4789255465808	3.31898762037246e-93	3.3047480928399e-90	up
CM001592.2/9135555-9135327	5.5125472329872	2.12212605736512	0.104255289840177	20.3550923950077	4.18461093515493e-92	3.97435033032084e-89	up
AOTI011094309.1/1541-1654	4.0249107008914	1.91771976730703	0.0943277729635021	20.3303831634936	6.92595533012146e-92	6.47828676287452e-89	up
FR886283.1/17935-17786	57.6681429110515	1.69549377835889	0.083404838753864	20.328482180302	7.19952439759121e-92	6.63366327105814e-89	up
MHZK01000326.1/387-1	86.941993234278	1.84824149162621	0.0909634777508668	20.318500757944	8.82299249519209e-92	8.0693128696028e-89	up
LL040155.1/3365-3442	17.8048236146965	1.59881534000683	0.0787806105069957	20.2945284343138	1.437269611686e-91	1.3048294442327e-88	up
JJRS01047536.1/5919-5787	6.45412499259689	2.02126975979261	0.0997984087747499	20.2535269310227	3.30694058484143e-91	2.91643814378002e-88	up
CR382130.1/3234792-3234585	6.26304866405555	2.13811018885845	0.105613236376817	20.2447180127109	3.9544015055613e-91	3.46270953963576e-88	up
DS562857.1/50604569-50604432	7.65158078279149	2.82937777336303	0.139777542322433	20.2420054491754	4.17817279318938e-91	3.6328918199261e-88	up
CM000823.5/25108081-25108314	10.5729051545165	1.95967547267042	0.0969349744773999	20.2163923107785	7.02353971607177e-91	5.98056828733758e-88	up
MDJD01000054.1/78113-78189	4.79803278024656	2.18274266599962	0.108143210672527	20.1838160012584	1.35843316042414e-90	1.14097296225338e-87	up
DS545467.1/21053-21134	25.0403933099456	2.03198241451267	0.100862851915743	20.145994049525	2.9179302058294e-90	2.41792621914996e-87	up
CM007897.1/2249347-2249245	41.0436561184883	1.64883652539003	0.0818559174554562	20.1431561290273	3.09003811450335e-90	2.54347217281e-87	up
CM000801.1/72729867-72729799	5.68847013815524	2.02206728827281	0.100539303178403	20.1122071105341	5.76984693368194e-90	4.65615334122772e-87	up
LL004781.1/12073-12150	17.6042669138122	1.52606819458423	0.0760381429775108	20.0697720226489	1.35625222003446e-89	1.05983385508364e-86	up
FAOM01094400.1/54551-54432	6.27256220194154	2.14064694480786	0.106916131888836	20.0217395353729	3.56069961934549e-89	2.7649840289393e-86	up
JRRC01032652.1/15311-15416	160.139534380413	1.9959496150118	0.0997951677389345	20.0004635518348	5.4562998612398e-89	4.18433808240718e-86	up
CM000244.2/80368906-80368770	4.69233610566901	2.04521284247904	0.10256578240016	19.940498620677	1.81249095530161e-88	1.37291186054711e-85	up
LVYV01000001.1/769810-769746	6.84518833695465	2.18483693166618	0.109582896404611	19.9377549175114	1.91467152994848e-88	1.44146746621755e-85	up
AAQR03011220.1/51964-52070	5.00325449661869	2.05834746078134	0.103280796848929	19.9296241274371	2.25247270369453e-88	1.67535120349251e-85	up
CM002294.1/26664837-26664733	9.96578701127381	1.80651275192319	0.0907578110909951	19.904763349922	3.70035035718979e-88	2.70340152604443e-85	up
KL542476.1/3345192-3345298	87.8107594646631	1.88688859197588	0.0949401118944329	19.8745140944639	6.76381804870297e-88	4.88371395811262e-85	up
AAMC03025326.1/16481-16317	6.9804663599344	1.95390585623149	0.0984360217961867	19.8495004224884	1.11302022063384e-87	7.98967329076855e-85	up
AANH01012235.1/22897-22819	69.7508027807297	1.78615103898349	0.0900196298736186	19.841794967288	1.29742730983057e-87	9.25958121908446e-85	up
CM000039.3/98627010-98627103	30.696354743325	1.95500555100375	0.0986266340737213	19.8222880600632	1.91214141083992e-87	1.35682917076772e-84	up
AANH01012235.1/22497-22419	70.8851176501466	1.80045178850084	0.0908825216517638	19.8107596023762	2.40429461702652e-87	1.69630541585731e-84	up
LM434614.1/2965-3110	9.50048909050601	2.31972440372165	0.117319109253097	19.7727754539733	5.10867211648994e-87	3.52378507753508e-84	up
LL000147.1/21777-21858	17.751481542878	1.54291783816654	0.0780417536195457	19.77041476654	5.35340529146592e-87	3.67207913625952e-84	up
LL001481.1/19995-20072	17.2890465128731	1.54082738004383	0.0779634773041451	19.7634512123269	6.14556985489561e-87	4.19216143007874e-84	up
LL012509.1/11241-11360	1807.18537846701	1.69719789108912	0.0862491530842623	19.6778499312453	3.33868825324233e-86	2.25257465164658e-83	up
AWHE01000771.1/4313-4070	31.2197865097135	1.49973027615911	0.0765040225255085	19.6032865547568	1.44952649860907e-85	9.57059560054892e-83	up
FAOM01256071.1/5064-5256	4.65041592178305	2.1831238937891	0.111494161830672	19.580611737363	2.26286615598577e-85	1.47048188709079e-82	up
CM001599.2/64562327-64562413	4.05499567738238	2.00342779417374	0.102475652407524	19.5502809409451	4.1025552756833e-85	2.65201201454485e-82	up
CCCW010026573.1/76696-76558	5.89045782570718	1.7082026302419	0.087461640898298	19.5308779105601	5.99990898911597e-85	3.85831647431339e-82	up
DS545155.1/312436-312576	5.7790364907915	2.19516655246372	0.112428731417298	19.5249606109669	6.73688935231082e-85	4.30979406503167e-82	up
FAOM01130021.1/36232-36147	37.2554342446169	2.09964411340754	0.107705111749113	19.4943775584061	1.22536394033224e-84	7.7586274351252e-82	up
FAOM01159102.1/6494-6409	37.1845366877968	2.08046959698579	0.106805087057266	19.4791245839282	1.65077929619762e-84	1.03461125960877e-81	up
DS562874.1/29618664-29618748	6.61202453528257	2.24249814062587	0.115155709558199	19.4736166294257	1.83823113658555e-84	1.14627637359568e-81	up
HE601624.1/49512026-49512103	350.981831680593	2.17234878473029	0.111629689441862	19.4603137892063	2.38321279925075e-84	1.47864581858237e-81	up
KQ042772.1/30318-30239	70.2563976621745	1.77914101434896	0.0914688122040803	19.4507938987929	2.86953787152849e-84	1.7696968161072e-81	up
CM001003.2/126840501-126840374	58.149866412903	2.27668581173126	0.117093847961057	19.4432572793102	3.32377555312055e-84	2.02157596055511e-81	up
BABH01054633.1/426-492	30.6960718823662	1.63374698537004	0.0841394977378518	19.4171231026384	5.53024087011415e-84	3.33076965732319e-81	up
AANH01012235.1/21327-21249	70.3388385704624	1.75717348927397	0.0906060159264055	19.3935631239015	8.74628095317552e-84	5.24216415886735e-81	up
HF993832.1/3880-3965	18.3688219751789	2.83753952456979	0.146347306733267	19.3890792246796	9.54299449382256e-84	5.69205045489509e-81	up
LGKD01208803.1/798-607	5.38668829566363	1.98214711624496	0.102472288067983	19.3432502934837	2.32357478111537e-83	1.34688793931809e-80	up
JJRP01055240.1/2292-2457	11.4387800815551	1.98621202657162	0.102776896828534	19.3254718507923	3.27971443036099e-83	1.87472120966579e-80	up
ACPB03028962.1/444-550	60.4092186064061	1.55771690255657	0.0806162247776718	19.3226227952567	3.46585132519415e-83	1.97198954571e-80	up
CM000882.2/50710951-50710827	10.7986227319812	1.61523734822494	0.0838595947482397	19.2612109929001	1.13688379127274e-82	6.32291747481362e-80	up
CM001222.2/3871857-3872083	2914.22009278354	1.94794507970869	0.101160422849683	19.2559997757541	1.25724262422661e-82	6.96095212233234e-80	up
KL657590.1/17815-18086	5.12859025280702	2.02420020693134	0.105327389964327	19.2181749459176	2.60782423048825e-82	1.41842661713622e-79	up
AOTI010222969.1/2725-2917	4.75288777808523	2.1814021388847	0.11354965370498	19.2109977239767	2.9945534723791e-82	1.61454815776289e-79	up
ALWT01016942.1/18254-18328	7.82854467226214	2.43631875602106	0.126937708011951	19.1930262029914	4.23259550721267e-82	2.26229481421876e-79	up
JJRH01002618.1/1127-993	4.23367333002681	2.07119113685022	0.108152441205521	19.150664689245	9.5559261527736e-82	5.04209867619936e-79	up
CP001673.1/2721260-2721336	31.0919728462086	1.55967106394156	0.0815655262978396	19.1216943570787	1.66606345634247e-81	8.75342650330602e-79	up
JH205562.1/831683-831543	7.94172877336813	1.84752735738127	0.096633823693918	19.1188476949149	1.75951932768807e-81	9.20526831995723e-79	up
LTWW01000048.1/126988-127115	22.9229204323709	1.1704549048011	0.0612300895996021	19.1156817253572	1.86961037647951e-81	9.73996008283428e-79	up
JH724314.1/3204685-3204542	4.30072777286266	1.88132141133069	0.0984694975409063	19.1056261920007	2.26691801002554e-81	1.17601610446148e-78	up
CDMY01000201.1/97960-98153	3.72658147790596	2.19929965765855	0.115249257014146	19.0829833930174	3.49715273206161e-81	1.776898985688e-78	up
CP009761.1/1249085-1249005	14.5788449725107	1.87401798453474	0.0983523269617364	19.0541296014665	6.07179475033993e-81	3.05988716014274e-78	up
LGST01000022.1/180271-180186	7.63865826434222	2.1251523031538	0.111730842237234	19.0202835725658	1.15855228836315e-80	5.79126048338551e-78	up
GL433841.1/1042220-1042027	4.5895033262563	2.08910873575853	0.110082031346152	18.9777451434317	2.60539988159817e-80	1.29190165695246e-77	up
AFSB01073524.1/48337-48442	4.69110638440033	2.08583640179712	0.11010328507589	18.9443612001171	4.91519728066983e-80	2.4178070830667e-77	up
JPLB01000038.1/61054-60949	196.668819783014	1.68498836906823	0.0891098353758664	18.9091177417278	9.59485954886835e-80	4.68244315723192e-77	up
LM585669.1/30389-30463	53.0031839721648	2.03088540018562	0.107409620342647	18.9078538189308	9.82758112374578e-80	4.77713301648285e-77	up
KI536925.1/3292334-3292510	6.78146078536488	1.75502165933922	0.0928540155278707	18.9008698155056	1.12187710307683e-79	5.43199694755647e-77	up
KB846940.1/716339-716444	4.11517452638485	2.14175664886804	0.11336174588171	18.8931162995929	1.29943485291604e-79	6.26713368827491e-77	up
GL010138.1/2741448-2741370	19.2607286775394	1.6723562065168	0.0885315914888942	18.8899372347394	1.38009754304292e-79	6.63026783830441e-77	up
AYUG01133024.1/37863-37757	30.8545523902003	1.5030582849223	0.0796749563566607	18.8648774176158	2.21785100370806e-79	1.05320626048395e-76	up
FAOM01220636.1/35858-35993	28.9587640212892	1.68304786719838	0.0893455589566099	18.8375100772019	3.72061674415431e-79	1.75334774109635e-76	up
KL660417.1/17633-17904	5.24753350675322	1.98005888444841	0.105169047096401	18.8273920808034	4.50402028327013e-79	2.11445770469504e-76	up
MDHA01000069.1/18197-18484	4.52445295554871	1.53948482314059	0.0818243295703246	18.8145119089239	5.74349570745968e-79	2.68612851518421e-76	up
ALJL01000036.1/176437-176667	73.4860808837644	1.50329024576625	0.0803764522317445	18.7031176921308	4.66931038916721e-78	2.12734470527564e-75	up
KB016899.1/29771-29655	59.5320308100486	2.26835221905009	0.121428659661526	18.6805341125642	7.13021306644316e-78	3.18968531481016e-75	up
CCCW010026314.1/84501-84607	4.11993001925791	1.94786400026638	0.104417200857387	18.6546276310048	1.158061272725e-77	5.14329169859032e-75	up
ALWZ045003335.1/39798-39739	4.39544066968374	2.44297673393947	0.131137026946648	18.6291910898162	1.86318935316357e-77	8.21586653772857e-75	up
DS562880.1/7852001-7851868	1462.04095814614	2.15397070308476	0.115881094214399	18.5877663452121	4.03640583354565e-77	1.74865598405689e-74	up
AFSB01240512.1/18274-18377	7.58626394561275	1.95266637607561	0.105179934267082	18.5650085226069	6.16773008879367e-77	2.63500795364421e-74	up
CM000412.1/45559559-45559422	3.96182866150675	2.08131303774195	0.112205774059157	18.5490724982177	8.29713411581306e-77	3.53251915521106e-74	up
LGAA01000003.1/240957-240750	7.23682714565419	1.8125482009767	0.0977367214815565	18.5452118047436	8.91488152032931e-77	3.78248313248117e-74	up
DF938581.1/1257877-1257967	8.30705667423987	2.24508174191246	0.121132413990525	18.534112117076	1.09583495763158e-76	4.6177662303364e-74	up
CM000245.1/94497895-94497998	18.3499627634555	1.81715442032182	0.0981631841745257	18.5115676065588	1.66581596948314e-76	6.94847858514003e-74	up
MUGW01000021.1/11243-11168	4.48642690809804	2.33424249313511	0.126122149548022	18.5077918628903	1.78676316453073e-76	7.42788129287137e-74	up
AZNC01083789.1/1203-1084	28.9764595681341	2.73818459164917	0.148093724114412	18.4895383516303	2.50691358668437e-76	1.03866982121055e-73	up
KV441472.1/979666-979781	11.1710835829873	2.77865227695137	0.150329934154268	18.4836925033169	2.79389504555955e-76	1.15370111533494e-73	up
KB822567.1/221057-220893	174.936855723612	1.46362989796216	0.0792900631191929	18.4591844221635	4.3993436205184e-76	1.79266718857481e-73	up
CM002522.1/19272145-19272349	3.16851982323712	1.95405672187465	0.105918768051353	18.4486352874427	5.34785995532355e-76	2.16488384578324e-73	up
JFHC01000116.1/15222-15105	22.273178085691	2.16542638255067	0.117454236568956	18.4363412151538	6.71331259617941e-76	2.70875581576823e-73	up
CP003005.1/1971313-1971399	10.4780805390065	2.31752513442458	0.12631725497283	18.346861122996	3.49742335024024e-75	1.38403803271622e-72	up
CM000384.2/28053958-28053862	12.2623980469043	2.02438088788388	0.110493650297906	18.3212418308733	5.6019855675326e-75	2.19576493349878e-72	up
