var,corr,p
AANG03052348.1/1214-1373,-0.19888165544939274,0.002189839598354508
AAPE02010533.1/121388-121474,-0.18896533463879045,0.003642391226520793
AAPE02066634.1/5705-5828,0.24257978910595496,0.000173279004174734
ABKE02002226.1/5935-5866,-0.1823866084204628,0.005038098988804341
ACTA01187588.1/192-323,-0.17576760870479552,0.0069098045019744545
AYMY01S003082.1/211034-210928,0.19344902717396753,0.002902448152916076
AYUG01125812.1/25660-25739,0.17253851732541828,0.008030824572234266
BDDD01004312.1/88970-89073,-0.18414357946416854,0.004624713041676766
CAJW010061291.1/2024-1901,-0.1778938985310484,0.00625008011887579
CCCW010028696.1/19096-18913,-0.1745923171759477,0.007300536012555942
CM000296.1/66813986-66814076,0.17167373417363443,0.008357287537618786
CM000685.2/145997273-145997200,-0.17402787978600084,0.0074950942308561015
CM000880.2/19003982-19004116,-0.17414956968963444,0.007452762105667256
CM001879.1/17582377-17582471,-0.17781970678872921,0.006272115643733924
CM007650.1/83102917-83102825,-0.19039045339694774,0.0033905498197967774
CP002687.1/2586945-2586794,-0.19178113227167568,0.0031600877560908607
CP003806.1/703713-703930,-0.19099932265225048,0.0032878396082049897
CP007044.2/717020-716808,-0.18053050655246378,0.005510584606356711
CP013745.1/1348889-1349182,-0.1791785614368096,0.005879349059099552
GL010027.1/74775423-74775570,0.18826646416516213,0.003771966399048936
JH205674.1/1881766-1881904,-0.1869968286431584,0.004018058159723201
JMFL01037947.1/25942-25833,-0.17867852932254938,0.006021242239327081
JZJH01047831.1/74387-74295,0.18801327632807702,0.0038199266486213528
KB017104.1/1437045-1437171,0.18480899364630657,0.0044762972850082815
KB017240.1/9886-9719,-0.1712329422010895,0.00852818585195219
LFEI01000202.1/129190-129259,-0.22195373729003365,0.0006098605943743963
MJEQ01037188.1/39284804-39284640,-0.17357158293204414,0.007655739713324526
MJEQ01037189.1/4266243-4266115,-0.1852120350095361,0.004388500648967033
